epoch,step,train/first_centroids_norm_epoch,train/first_centroids_norm_step,train/first_residuals_norm_ratio_epoch,train/first_residuals_norm_ratio_step,train/frac_unique_ids_epoch,train/frac_unique_ids_step,train/last_centroids_norm_epoch,train/last_centroids_norm_step,train/last_residuals_norm_ratio_epoch,train/last_residuals_norm_ratio_step,train/layer_0/frac_layer_coverages_epoch,train/layer_0/frac_layer_coverages_step,train/layer_0/id_entropy_epoch,train/layer_0/id_entropy_step,train/layer_1/frac_layer_coverages_epoch,train/layer_1/frac_layer_coverages_step,train/layer_1/id_entropy_epoch,train/layer_1/id_entropy_step,train/layer_2/frac_layer_coverages_epoch,train/layer_2/frac_layer_coverages_step,train/layer_2/id_entropy_epoch,train/layer_2/id_entropy_step,train/loss_epoch,train/loss_step,train/mse_epoch,train/mse_step,train/quantization_loss_epoch,train/quantization_loss_step,train/reconstruction_loss_epoch,train/reconstruction_loss_step
0,49,,6.857370853424072,,0.005412695463746786,,0.99951171875,,0.057763222604990005,,0.004083165433257818,,0.9375,,5.26794958114624,,0.89453125,,5.178961277008057,,0.8203125,,4.999463081359863,,0.0004894583253189921,,2.6074067704939807e-07,,1.403425130774849e-06,,0.000488054909510538
0,99,,6.858436107635498,,0.00568956695497036,,0.84912109375,,0.11058662086725235,,0.004169614054262638,,0.3046875,,3.8324828147888184,,0.2109375,,3.1320066452026367,,0.18359375,,3.375739097595215,,0.0004878631152678281,,2.7192180596102844e-07,,2.926827846749802e-06,,0.0004849362885579467
0,149,,6.857207775115967,,0.013807740993797779,,0.46533203125,,0.11327777802944183,,0.005074793007224798,,0.234375,,2.6208720207214355,,0.12109375,,2.708393096923828,,0.21875,,3.3803815841674805,,0.0004659178666770458,,4.0274605339618574e-07,,3.808414703598828e-06,,0.0004621094558387995
0,199,,6.859872817993164,,0.012346545234322548,,0.6640625,,0.11226748675107956,,0.004117648117244244,,0.1875,,2.6487197875976562,,0.25,,3.826702356338501,,0.25,,3.879305601119995,,0.00045883460552431643,,2.6514936735111405e-07,,3.0583057650801493e-06,,0.0004557762877084315
0,249,,6.858163833618164,,0.01092539168894291,,0.84716796875,,0.11138340830802917,,0.004189301282167435,,0.19140625,,3.0690159797668457,,0.265625,,4.006175518035889,,0.26953125,,3.8236770629882812,,0.0004541269445326179,,2.745081815191952e-07,,4.595527570927516e-06,,0.0004495314205996692
0,299,,6.859736919403076,,0.01362557802349329,,0.78515625,,0.11269576102495193,,0.004895305261015892,,0.19140625,,3.1608214378356934,,0.265625,,4.0612945556640625,,0.27734375,,3.781315326690674,,0.00044804284698329866,,3.7481288472918095e-07,,6.252233561099274e-06,,0.00044179061660543084
0,349,,6.868808746337891,,0.015265515074133873,,0.8798828125,,0.1143806204199791,,0.005134878680109978,,0.1953125,,3.3899426460266113,,0.28125,,4.128464698791504,,0.30078125,,3.95890736579895,,0.00044337494182400405,,4.123595260807633e-07,,6.267241133173229e-06,,0.00043710769386962056
0,399,,6.879768371582031,,0.015744570642709732,,0.90380859375,,0.11437824368476868,,0.005262465216219425,,0.203125,,3.6760141849517822,,0.30078125,,4.162112712860107,,0.3125,,4.088052272796631,,0.00043669159640558064,,4.3308915564921335e-07,,6.158581982163014e-06,,0.0004305330221541226
0,449,,6.885521411895752,,0.015784652903676033,,0.927734375,,0.11440474539995193,,0.005333845969289541,,0.20703125,,3.827784299850464,,0.30078125,,4.194984436035156,,0.33984375,,4.171260356903076,,0.00043559723417274654,,4.449185553312418e-07,,6.045710051694186e-06,,0.0004295515245757997
0,499,,6.888420104980469,,0.015544254332780838,,0.57177734375,,0.11425628513097763,,0.005411519203335047,,0.21484375,,3.8953404426574707,,0.30859375,,4.153621673583984,,0.328125,,4.129256248474121,,0.000433392240665853,,4.5799805548085715e-07,,6.1590199038619176e-06,,0.0004272332298569381
0,549,,6.8904900550842285,,0.015551745891571045,,0.9423828125,,0.11449717730283737,,0.005465667229145765,,0.22265625,,3.8986685276031494,,0.31640625,,4.157006740570068,,0.3671875,,4.138348579406738,,0.0004346103814896196,,4.6720620616724773e-07,,6.189589839777909e-06,,0.0004284207825548947
0,599,,6.892435550689697,,0.015546897426247597,,0.9599609375,,0.11423835158348083,,0.005539172329008579,,0.22265625,,3.9327917098999023,,0.33203125,,4.2235283851623535,,0.3671875,,4.208447456359863,,0.000430025887908414,,4.799067596650275e-07,,6.100729024183238e-06,,0.00042392517207190394
0,649,,6.894023418426514,,0.015466729179024696,,0.95703125,,0.11482848227024078,,0.005544757936149836,,0.2265625,,3.908581256866455,,0.33984375,,4.235757827758789,,0.37890625,,4.298455238342285,,0.0004289023345336318,,4.808103426512389e-07,,6.188679890328785e-06,,0.0004227136669214815
0,699,,6.894602298736572,,0.015163413248956203,,0.9609375,,0.11529146879911423,,0.005563206505030394,,0.2265625,,3.9580347537994385,,0.34765625,,4.254602909088135,,0.38671875,,4.297860145568848,,0.00042762962402775884,,4.840154588237056e-07,,6.102362931414973e-06,,0.00042152724927291274
0,749,,6.895854473114014,,0.01515453215688467,,0.96826171875,,0.11535601317882538,,0.00556252570822835,,0.2421875,,3.9695003032684326,,0.3671875,,4.300556659698486,,0.3984375,,4.383286952972412,,0.000428072118666023,,4.838274776375329e-07,,6.258555913518649e-06,,0.0004218135727569461
0,799,,6.897082328796387,,0.015055411495268345,,0.9638671875,,0.1155129075050354,,0.005656828172504902,,0.23828125,,3.973430633544922,,0.3671875,,4.328446388244629,,0.41015625,,4.361359596252441,,0.0004268850025255233,,5.004645231565519e-07,,6.285930794547312e-06,,0.0004205990699119866
0,849,,6.897400379180908,,0.015507693402469158,,0.9697265625,,0.1161092221736908,,0.0057748835533857346,,0.2421875,,4.001026630401611,,0.37109375,,4.3509650230407715,,0.41015625,,4.374567031860352,,0.00042741006473079324,,5.215584337747714e-07,,6.206964826560579e-06,,0.00042120309080928564
0,899,,6.898420810699463,,0.015258495695888996,,0.97314453125,,0.11661461740732193,,0.005876907147467136,,0.24609375,,4.014823913574219,,0.375,,4.375100612640381,,0.4140625,,4.475114822387695,,0.0004270065692253411,,5.401212206379569e-07,,6.484763616754208e-06,,0.00042052179924212396
0,949,,6.899651050567627,,0.01533280499279499,,0.96630859375,,0.1170768290758133,,0.005889973137527704,,0.25,,4.010272979736328,,0.3828125,,4.358453750610352,,0.4140625,,4.476495742797852,,0.0004240480484440923,,5.425021640803607e-07,,6.606467195524601e-06,,0.00041744159534573555
