epoch,step,test/loss,test/ndcg@10,test/ndcg@5,test/recall@10,test/recall@5,train/loss_epoch,train/loss_step,val/loss,val/ndcg@10,val/ndcg@5,val/recall@10,val/recall@5
0,99,,,,,,,15.583728790283203,,,,,
0,99,,,,,,,,15.44085693359375,7.571157766506076e-05,7.571157766506076e-05,0.00011999999696854502,0.00011999999696854502
0,199,,,,,,,14.643769264221191,,,,,
0,199,,,,,,,,14.744231224060059,0.0015319491503760219,0.0010799731826409698,0.0034199999645352364,0.0020800000056624413
0,299,,,,,,,13.087132453918457,,,,,
0,299,,,,,,,,13.589388847351074,0.0038655356038361788,0.0029113758355379105,0.00788000039756298,0.004920000210404396
0,399,,,,,,,10.841981887817383,,,,,
0,399,,,,,,,,12.74675464630127,0.005840189289301634,0.003919707611203194,0.012860000133514404,0.0069599999114871025
0,499,,,,,,,12.103846549987793,,,,,
0,499,,,,,,,,12.051131248474121,0.00994811300188303,0.00794359389692545,0.018219999969005585,0.012040000408887863
0,599,,,,,,,12.330273628234863,,,,,
0,599,,,,,,,,11.340277671813965,0.013257907703518867,0.010627692565321922,0.024739999324083328,0.016620000824332237
0,699,,,,,,,11.828794479370117,,,,,
0,699,,,,,,,,10.841653823852539,0.013826446607708931,0.010549009777605534,0.02597999945282936,0.015799999237060547
0,799,,,,,,,11.069766998291016,,,,,
0,799,,,,,,,,10.539155006408691,0.013811301440000534,0.010337547399103642,0.026639999821782112,0.01583999954164028
0,899,,,,,,,10.88819408416748,,,,,
0,899,,,,,,,,10.343603134155273,0.015059155412018299,0.011644814163446426,0.028440000489354134,0.017839999869465828
0,999,,,,,,,11.38300895690918,,,,,
0,999,,,,,,,,10.287981033325195,0.01455590222030878,0.010803604498505592,0.02834000065922737,0.016659999266266823
0,1099,,,,,,,9.785676956176758,,,,,
0,1099,,,,,,,,10.082633972167969,0.017135588452219963,0.013069888576865196,0.03254000097513199,0.01979999989271164
0,1199,,,,,,,10.860461235046387,,,,,
0,1199,,,,,,,,9.948649406433105,0.01754983700811863,0.013497703708708286,0.033479999750852585,0.020840000361204147
0,1299,,,,,,,9.048645973205566,,,,,
0,1299,,,,,,,,9.796394348144531,0.017460132017731667,0.01333308219909668,0.033319998532533646,0.02043999917805195
0,1399,,,,,,,10.742568969726562,,,,,
0,1399,,,,,,,,9.693480491638184,0.017775559797883034,0.01360832154750824,0.034279998391866684,0.021320000290870667
0,1499,,,,,,,9.942800521850586,,,,,
0,1499,,,,,,,,9.697245597839355,0.018275242298841476,0.014229344204068184,0.03440000116825104,0.021880000829696655
0,1599,,,,,,,9.91125202178955,,,,,
0,1599,,,,,,,,9.67937183380127,0.01845163106918335,0.013520777225494385,0.03627999871969223,0.020899999886751175
0,1699,,,,,,,9.966936111450195,,,,,
0,1699,,,,,,,,9.588027954101562,0.018472928553819656,0.014013266190886497,0.03539999946951866,0.021479999646544456
0,1799,,,,,,,10.441128730773926,,,,,
0,1799,,,,,,,,9.670560836791992,0.01831062324345112,0.013619053177535534,0.03626000136137009,0.021779999136924744
0,1899,,,,,,,10.456611633300781,,,,,
0,1899,,,,,,,,9.661337852478027,0.01807507500052452,0.013904107734560966,0.034619998186826706,0.02175999991595745
0,1999,,,,,,,10.031064987182617,,,,,
0,1999,,,,,,,,9.470182418823242,0.019475234672427177,0.014884197153151035,0.038019999861717224,0.023719999939203262
0,2099,,,,,,,8.809734344482422,,,,,
0,2099,,,,,,,,9.464606285095215,0.01972736418247223,0.015253402292728424,0.037539999932050705,0.0236200001090765
0,2199,,,,,,,9.25515079498291,,,,,
