epoch,step,test/loss,test/ndcg@10,test/ndcg@5,test/recall@10,test/recall@5,train/loss_epoch,train/loss_step,val/loss,val/ndcg@10,val/ndcg@5,val/recall@10,val/recall@5
0,99,,,,,,,12.090924263000488,,,,,
0,99,,,,,,,,11.842147827148438,0.0002742261567618698,0.00024949770886451006,0.0006399999838322401,0.0005600000149570405
0,199,,,,,,,11.467849731445312,,,,,
0,199,,,,,,,,11.242973327636719,0.004147079773247242,0.0029165404848754406,0.008340000174939632,0.004519999958574772
0,299,,,,,,,10.557981491088867,,,,,
0,299,,,,,,,,10.725595474243164,0.006292626727372408,0.004334724973887205,0.013439999893307686,0.0072200000286102295
0,399,,,,,,,8.898674964904785,,,,,
0,399,,,,,,,,10.479963302612305,0.007133882027119398,0.005198157392442226,0.014340000227093697,0.008340000174939632
0,499,,,,,,,9.533443450927734,,,,,
0,499,,,,,,,,10.245320320129395,0.008242364972829819,0.006438030861318111,0.015560000203549862,0.009940000250935555
0,599,,,,,,,10.780478477478027,,,,,
0,599,,,,,,,,10.05946159362793,0.010650084353983402,0.008525865152478218,0.019680000841617584,0.013039999641478062
0,699,,,,,,,9.105396270751953,,,,,
0,699,,,,,,,,9.892937660217285,0.010421041399240494,0.008445448242127895,0.019419999793171883,0.013260000385344028
0,799,,,,,,,8.625286102294922,,,,,
0,799,,,,,,,,9.801909446716309,0.011048696003854275,0.008622727356851101,0.020840000361204147,0.013260000385344028
0,899,,,,,,,9.894392967224121,,,,,
0,899,,,,,,,,9.779953956604004,0.011372724547982216,0.00901966542005539,0.021139999851584435,0.013779999688267708
0,999,,,,,,,8.544193267822266,,,,,
0,999,,,,,,,,9.735930442810059,0.01233047153800726,0.00969240814447403,0.023240000009536743,0.015039999969303608
0,1099,,,,,,,9.825096130371094,,,,,
0,1099,,,,,,,,9.650459289550781,0.013279183767735958,0.0104800621047616,0.024539999663829803,0.015799999237060547
0,1199,,,,,,,10.471471786499023,,,,,
0,1199,,,,,,,,9.592966079711914,0.014295619912445545,0.011165427044034004,0.026499999687075615,0.016699999570846558
0,1299,,,,,,,8.593151092529297,,,,,
0,1299,,,,,,,,9.542781829833984,0.013568154536187649,0.010481963865458965,0.025599999353289604,0.016019999980926514
0,1399,,,,,,,9.081446647644043,,,,,
0,1399,,,,,,,,9.495467185974121,0.014086521230638027,0.011236687190830708,0.02572000026702881,0.016780000180006027
0,1499,,,,,,,8.89614200592041,,,,,
0,1499,,,,,,,,9.486382484436035,0.01502198725938797,0.012119256891310215,0.026979999616742134,0.017899999395012856
0,1599,,,,,,,9.414822578430176,,,,,
0,1599,,,,,,,,9.48404598236084,0.015921808779239655,0.012977995909750462,0.028620000928640366,0.01947999931871891
0,1699,,,,,,,8.258357048034668,,,,,
0,1699,,,,,,,,9.448461532592773,0.015229519456624985,0.012381330132484436,0.02768000029027462,0.01882000081241131
0,1799,,,,,,,9.820466041564941,,,,,
0,1799,,,,,,,,9.480339050292969,0.015551715157926083,0.012423353269696236,0.028599999845027924,0.01889999955892563
0,1899,,,,,,,6.518395900726318,,,,,
0,1899,,,,,,,,9.486361503601074,0.01483165193349123,0.012001637369394302,0.027300000190734863,0.018540000542998314
0,1999,,,,,,,9.302753448486328,,,,,
0,1999,,,,,,,,9.385642051696777,0.016884641721844673,0.013669947162270546,0.030640000477433205,0.020719999447464943
0,2099,,,,,,,8.674797058105469,,,,,
0,2099,,,,,,,,9.376876831054688,0.016231562942266464,0.013132395222783089,0.03012000024318695,0.02046000026166439
0,2199,,,,,,,10.118817329406738,,,,,
